Date,Open,High,Low,Close
2/5/1999,2419.929932,2421.429932,2346.820068,2373.620117
2/8/1999,2405.310059,2414.97998,2358.050049,2404.919922
2/9/1999,2403.949951,2403.949951,2310.639893,2310.790039
2/10/1999,2304.25,2338.149902,2289.899902,2309.50
2/11/1999,2339.02002,2405.76001,2326.189941,2405.550049
2/12/1999,2375.98999,2379.00,2319.73999,2321.889893
2/16/1999,2361.219971,2368.409912,2300.52002,2313.870117
2/17/1999,2277.580078,2304.719971,2242.27002,2248.909912
2/18/1999,2269.030029,2273.080078,2224.209961,2260.550049
2/19/1999,2276.610107,2291.409912,2260.550049,2283.600098
2/22/1999,2293.330078,2342.409912,2275.600098,2342.01001
2/23/1999,2360.679932,2386.47998,2342.01001,2376.350098
2/24/1999,2389.75,2405.290039,2338.899902,2339.379883
2/25/1999,2329.389893,2339.379883,2286.909912,2326.820068
2/26/1999,2320.48999,2326.820068,2277.179932,2288.030029
3/1/1999,2286.830078,2300.820068,2264.320068,2295.179932
3/2/1999,2303.620117,2317.570068,2257.070068,2259.030029
3/3/1999,2274.040039,2280.969971,2235.189941,2265.199951
3/4/1999,2286.290039,2311.179932,2250.629883,2292.889893
3/5/1999,2329.580078,2339.209961,2292.889893,2337.110107
3/8/1999,2357.320068,2398.189941,2353.73999,2397.620117
3/9/1999,2396.52002,2433.370117,2385.52002,2392.939941
3/10/1999,2407.100098,2408.949951,2378.810059,2406.00
3/11/1999,2419.120117,2437.389893,2391.550049,2412.25
3/12/1999,2411.47998,2412.25,2362.870117,2381.530029
3/15/1999,2392.540039,2431.449951,2375.830078,2431.439941
3/16/1999,2437.97998,2450.01001,2423.810059,2439.27002
3/17/1999,2440.219971,2441.719971,2419.850098,2428.969971
3/18/1999,2425.360107,2463.01001,2423.540039,2462.959961
3/19/1999,2480.389893,2480.629883,2420.209961,2421.27002
3/22/1999,2428.389893,2430.850098,2395.290039,2395.939941
3/23/1999,2388.040039,2395.939941,2319.959961,2322.840088
3/24/1999,2326.629883,2365.350098,2305.639893,2365.280029
3/25/1999,2399.719971,2434.889893,2399.719971,2434.800049
3/26/1999,2425.050049,2445.719971,2410.459961,2419.169922
3/29/1999,2442.590088,2492.840088,2419.169922,2492.840088
3/30/1999,2492.169922,2506.790039,2477.620117,2480.290039
3/31/1999,2508.340088,2520.629883,2458.77002,2461.399902
4/1/1999,2493.070068,2502.459961,2460.23999,2493.370117
4/5/1999,2523.97998,2560.100098,2515.699951,2560.060059
4/6/1999,2555.47998,2582.370117,2544.040039,2563.169922
4/7/1999,2594.780029,2596.25,2511.389893,2544.429932
4/8/1999,2553.449951,2573.969971,2514.27002,2573.389893
4/9/1999,2574.97998,2599.199951,2561.51001,2593.050049
4/12/1999,2530.98999,2606.23999,2526.840088,2598.810059
4/13/1999,2626.850098,2632.51001,2575.050049,2583.50
4/14/1999,2621.52002,2628.189941,2507.280029,2507.280029
4/15/1999,2535.189941,2536.340088,2443.02002,2521.77002
4/16/1999,2528.51001,2528.51001,2476.929932,2484.040039
4/19/1999,2501.709961,2501.709961,2341.350098,2345.610107
4/20/1999,2355.26001,2409.780029,2329.870117,2409.639893
4/21/1999,2428.889893,2489.840088,2404.709961,2489.080078
4/22/1999,2551.129883,2561.790039,2525.26001,2561.610107
4/23/1999,2563.870117,2603.100098,2538.00,2590.689941
4/26/1999,2617.090088,2661.51001,2615.72998,2652.050049
4/27/1999,2671.570068,2677.76001,2602.129883,2602.409912
4/28/1999,2601.129883,2610.909912,2544.899902,2550.370117
4/29/1999,2544.929932,2553.100098,2500.75,2528.439941
4/30/1999,2565.870117,2578.060059,2488.399902,2542.860107
5/3/1999,2546.330078,2549.100098,2512.370117,2535.580078
5/4/1999,2535.810059,2557.209961,2482.48999,2485.120117
5/5/1999,2498.149902,2534.449951,2430.649902,2534.449951
5/6/1999,2532.409912,2546.360107,2464.570068,2472.280029
5/7/1999,2499.530029,2507.719971,2462.27002,2503.620117
5/10/1999,2516.840088,2536.110107,2500.73999,2526.389893
5/11/1999,2553.02002,2574.370117,2542.419922,2566.679932
5/12/1999,2584.570068,2610.330078,2548.23999,2606.540039
5/13/1999,2621.73999,2632.73999,2581.75,2582.00
5/14/1999,2549.330078,2558.590088,2519.530029,2527.860107
5/17/1999,2517.26001,2561.850098,2494.51001,2561.840088
5/18/1999,2569.590088,2576.429932,2543.320068,2558.360107
5/19/1999,2568.439941,2577.929932,2540.379883,2577.399902
5/20/1999,2585.459961,2587.330078,2542.22998,2542.22998
5/21/1999,2551.419922,2553.76001,2509.23999,2520.139893
5/24/1999,2529.300049,2529.300049,2444.889893,2453.659912
5/25/1999,2454.629883,2466.169922,2379.610107,2380.899902
5/26/1999,2407.860107,2427.179932,2339.120117,2427.179932
5/27/1999,2421.100098,2440.080078,2400.939941,2419.149902
5/28/1999,2427.830078,2470.639893,2412.110107,2470.52002
6/1/1999,2467.51001,2470.530029,2411.969971,2412.030029
6/2/1999,2411.320068,2436.570068,2364.590088,2432.409912
6/3/1999,2440.75,2444.040039,2402.290039,2403.320068
6/4/1999,2419.459961,2478.340088,2419.459961,2478.340088
