Date,Open,High,Low,Close,,,
4/2/2007,17346.25,17782.080078,16999.050781,17400.410156,,,
5/1/2007,17396.300781,17875.75,17203.029297,17875.75,,,
6/1/2007,17949.919922,18297.00,17591.929688,18138.359375,,,
7/2/2007,18139.039062,18295.269531,17042.660156,17248.890625,,,
8/1/2007,17169.199219,17274.330078,15262.099609,16569.089844,,,
9/3/2007,16511.070312,16929.259766,15610.650391,16785.689453,,,
10/1/2007,16773.099609,17488.970703,16199.019531,16737.630859,,,
11/1/2007,16812.900391,16887.039062,14669.849609,15680.669922,,,
12/3/2007,15747.469727,16107.650391,14998.009766,15307.780273,,,
1/4/2008,15155.730469,15156.660156,12572.679688,13592.469727,,,
2/1/2008,13517.740234,14105.469727,12923.419922,13603.019531,,,
3/3/2008,13412.870117,13413.629883,11691.00,12525.540039,,,
4/1/2008,12539.799805,14003.280273,12521.839844,13849.990234,,,
5/1/2008,13802.589844,14392.530273,13540.679688,14338.540039,,,
6/2/2008,14342.959961,14601.269531,13453.349609,13481.379883,,,
7/1/2008,13514.860352,13603.30957,12671.339844,13376.80957,,,
8/1/2008,13276.570312,13468.80957,12631.94043,13072.870117,,,
9/1/2008,12936.80957,12940.549805,11160.830078,11259.860352,,,
10/1/2008,11396.610352,11456.639648,6994.899902,8576.980469,,,
11/4/2008,8702.769531,9521.240234,7406.180176,8512.269531,,,
12/1/2008,8464.360352,8859.55957,7849.839844,8859.55957,,,
1/5/2009,8991.209961,9325.349609,7671.040039,7994.049805,,,
2/2/2009,7908.509766,8257.709961,7155.160156,7568.419922,,,
3/2/2009,7454.279785,8843.179688,7021.279785,8109.529785,,,
4/1/2009,8173.359863,9068.799805,8084.620117,8828.259766,,,
5/1/2009,8848.839844,9522.50,8827.129883,9522.50,,,
6/1/2009,9517.490234,10170.820312,9491.259766,9958.44043,,,
7/1/2009,9889.339844,10359.070312,9050.330078,10356.830078,,,
8/3/2009,10355.230469,10767.00,10142.219727,10492.530273,,,
9/1/2009,10453.370117,10577.19043,9971.049805,10133.230469,,,
10/1/2009,10072.639648,10397.69043,9628.669922,10034.740234,,,
11/2/2009,9903.769531,9979.459961,9076.410156,9345.549805,,,
12/1/2009,9281.820312,10707.509766,9233.200195,10546.44043,,,
1/4/2010,10609.339844,10982.099609,10198.040039,10198.040039,,,
2/1/2010,10212.360352,10449.75,9867.389648,10126.030273,,,
3/1/2010,10128.730469,11147.620117,10116.860352,11089.94043,,,
4/1/2010,11178.919922,11408.169922,10865.919922,11057.400391,,,
5/6/2010,10847.900391,10847.900391,9395.290039,9768.700195,,,
6/1/2010,9747.259766,10251.900391,9347.070312,9382.639648,,,
7/1/2010,9296.860352,9807.360352,9091.700195,9537.299805,,,
8/2/2010,9574.639648,9750.879883,8807.410156,8824.05957,,,
9/1/2010,8833.320312,9704.25,8796.450195,9369.349609,,,
10/1/2010,9440.519531,9716.919922,9179.150391,9202.450195,,,
11/1/2010,9166.849609,10157.969727,9123.620117,9937.040039,,,
12/1/2010,9939.799805,10394.219727,9918.549805,10228.919922,,,
1/4/2011,10352.19043,10620.570312,10182.570312,10237.919922,,,
2/1/2011,10281.549805,10891.599609,10245.75,10624.089844,,,
3/1/2011,10676.240234,10768.429688,8227.629883,9755.099609,,,
4/1/2011,9757.280273,9849.740234,9405.19043,9849.740234,,,
5/2/2011,9964.389648,10017.469727,9406.040039,9693.730469,,,
6/1/2011,9708.049805,9849.69043,9318.620117,9816.089844,,,
7/1/2011,9878.69043,10207.910156,9824.339844,9833.030273,,,
8/1/2011,9907.040039,10040.129883,8619.209961,8955.200195,,,
9/1/2011,9017.009766,9098.150391,8359.700195,8700.290039,,,
10/3/2011,8567.980469,9152.389648,8343.009766,8988.389648,,,
11/1/2011,8880.75,8946.00,8135.790039,8434.610352,,,
12/1/2011,8581.200195,8729.80957,8272.259766,8455.349609,,,
1/4/2012,8549.540039,8911.620117,8349.330078,8802.509766,,,
2/1/2012,8789.05957,9866.410156,8780.099609,9723.240234,,,
3/1/2012,9771.339844,10255.150391,9509.099609,10083.55957,,,
4/2/2012,10161.719727,10190.349609,9388.139648,9520.889648,,,
5/1/2012,9471.660156,9472.25,8455.129883,8542.730469,,,
6/1/2012,8465.469727,9044.040039,8238.959961,9006.780273,,,
7/2/2012,9103.790039,9136.019531,8328.019531,8695.05957,,,
8/1/2012,8622.040039,9222.870117,8513.200195,8839.910156,,,
9/3/2012,8836.610352,9288.530273,8646.030273,8870.160156,,,
10/1/2012,8815.070312,9075.589844,8488.139648,8928.290039,,,
11/1/2012,8931.709961,9492.910156,8619.450195,9446.009766,,,
12/3/2012,9484.200195,10433.629883,9376.969727,10395.179688,,,
1/4/2013,10604.50,11145.379883,10398.610352,11138.660156,,,
2/1/2013,11193.719727,11662.519531,11046.919922,11559.360352,,,
3/1/2013,11464.709961,12650.259766,11464.709961,12397.910156,,,
4/1/2013,12371.339844,13983.870117,11805.780273,13860.860352,,,
5/1/2013,13837.719727,15942.599609,13555.660156,13774.540039,,,
6/3/2013,13551.360352,13724.44043,12415.849609,13677.320312,,,
7/1/2013,13746.719727,14953.290039,13562.700195,13668.320312,,,
8/1/2013,13674.50,14466.160156,13188.139648,13388.860352,,,
